# mphi[eV]; Yb X-coefficients [Hz]:	Yb+:S1/2->D5/2;	Yb+:S1/2->D3/2;	Yb+:S1/2->F7/2;	Yb:1S0->2D2;	Yb:1S0->3P0;
20.4173794467	-31465679925759.4	-35459986546270.4	256346996638080	-4162648563219.25	31192708296845.4
20.8929613085	-31464676904812.2	-35458920574322.8	256325474769655	-4163408927743.88	31190175610319.1
21.379620895	-31463667234191.8	-35457846024222.2	256304348818366	-4164160519638.55	31187651149789.7
21.8776162395	-31462651032531.5	-35456762989293.8	256283632998753	-4164902949789.19	31185135756668.9
22.3872113857	-31461628418464.7	-35455671562863.1	256263341525356	-4165635829081.91	31182630272368.5
22.9086765277	-31460599510625	-35454571838255.3	256243488612713	-4166358768402.51	31180135538300.3
23.4422881532	-31459564427645.8	-35453463908795.9	256224088475365	-4167071378637.03	31177652395875.9
23.9883291902	-31458523288160.4	-35452347867810.2	256205155327850	-4167773270671.45	31175181686507.3
24.5470891569	-31457476210802.4	-35451223808623.4	256186703384709	-4168464055391.7	31172724251606
25.1188643151	-31456423314205.1	-35450091824561.1	256168746860482	-4169143343683.81	31170280932583.9
25.7039578277	-31455364717002.2	-35448952008948.5	256151299969707	-4169810746433.56	31167852570852.8
26.302679919	-31454300537826.9	-35447804455110.9	256134376926924	-4170465874527.18	31165440007824.3
26.9153480393	-31453230895312.6	-35446649256373.9	256117991946672	-4171108338850.43	31163044084910.2
27.5422870334	-31452155908093	-35445486506062.5	256102159243492	-4171737750289.37	31160665643522.3
28.1838293126	-31451075694801.4	-35444316297502.4	256086893031923	-4172353719730.03	31158305525072.3
28.8403150313	-31449990374071.1	-35443138724018.7	256072207526504	-4172955858058.28	31155964570972
29.5120922667	-31448900064535.9	-35441953878936.9	256058116941775	-4173543776159.98	31153643622633.1
30.199517204	-31447804884828.9	-35440761855582.2	256044635492276	-4174117084921.23	31151343521467.6
30.9029543251	-31446704953583.7	-35439562747280.1	256031777392545	-4174675395228.07	31149065108886.8
31.6227766017	-31445600389433.7	-35438356647355.9	256019556857123	-4175218317966.27	31146809226302.8
32.359365693	-31444491311012.4	-35437143649134.9	256007988100549	-4175745464022.05	31144576715127.1
33.1131121483	-31443377836953.2	-35435923845942.6	255997085337363	-4176256444281.1	31142368416771.8
33.8844156139	-31442260085889.5	-35434697331104.1	255986862782103	-4176750869629.47	31140185172648.4
34.6736850453	-31441138176454.9	-35433464197945	255977334649311	-4177228350953.28	31138027824168.5
35.4813389234	-31440012227282.6	-35432224539790.5	255968515153525	-4177688499138.27	31135897212744.3
36.307805477	-31438882357006.3	-35430978449966.1	255960418509284	-4178130925070.57	31133794179787.2
37.1535229097	-31437748684259.2	-35429726021797	255953058931129	-4178555239636.09	31131719566709.1
38.0189396321	-31436611327675	-35428467348608.5	255946450633599	-4178961053720.79	31129674214921.7
38.9045144994	-31435470405886.8	-35427202523726.1	255940607831233	-4179347978210.57	31127658965836.8
39.8107170553	-31434326037528.4	-35425931640475.1	255935544738571	-4179715623991.65	31125674660866
40.7380277804	-31433178341233.1	-35424654792180.9	255931275570152	-4180063601949.64	31123722141421.3
41.686938347	-31432027435634.3	-35423372072168.8	255927814540517	-4180391522970.84	31121802248914.2
42.6579518802	-31430873439365.5	-35422083573764.2	255925175864204	-4180698997940.9	31119915824756.7
43.651583224	-31429716471060.1	-35420789390292.4	255923373755754	-4180985637745.95	31118063710360.4
44.6683592151	-31428556649351.5	-35419489615078.7	255922422429705	-4181251053271.98	31116246747137.1
45.7088189615	-31427394092873.3	-35418184341448.5	255922336100597	-4181494855404.87	31114465776498.5
46.7735141287	-31426228920258.8	-35416873662727.3	255923128982970	-4181716655030.74	31112721639856.3
47.8630092323	-31425061250141.5	-35415557672240.2	255924815291364	-4181916063035.42	31111015178622.4
48.9778819368	-31423891201154.8	-35414236463312.6	255927409240317	-4182092690304.72	31109347234208.6
50.1187233627	-31422718891932.3	-35412910129270	255930925044370	-4182246147725.05	31107718648026.4
51.2861383991	-31421544441107.2	-35411578763437.7	255935376918062	-4182376046182	31106130261487.7
52.480746025	-31420367967313.1	-35410242459141.1	255940779075932	-4182481996561.62	31104582916004.4
53.703179637	-31419189589183.4	-35408901309705.3	255947145732520	-4182563609749.94	31103077452988
54.9540873858	-31418009425351.6	-35407555408455.9	255954491102366	-4182620496632.89	31101614713850.3
56.234132519	-31416827594451	-35406204848718.2	255962829400009	-4182652268096.5	31100195540003.2
57.5439937337	-31415644215115.2	-35404849723817.5	255972174839989	-4182658535026.59	31098820772858.3
58.8843655356	-31414459405977.6	-35403490127079.1	255982541636845	-4182638908309.13	31097491253827.5
60.2559586074	-31413273285671.5	-35402126151828.5	255993944005117	-4182592998830.27	31096207824322.4
61.6595001861	-31412085972830.6	-35400757891391	256006396159344	-4182520417475.85	31094971325754.8
63.095734448	-31410897586088.1	-35399385439091.9	256019912314066	-4182420775131.82	31093782599536.5
64.5654229035	-31409708244077.6	-35398008888256.5	256034506683822	-4182293682684.27	31092642487079.2
66.0693448008	-31408518065432.5	-35396628332210.4	256050193483153	-4182138751018.93	31091551829794.7
67.6082975392	-31407326933226	-35395243605327	256066984855626	-4181955681416.75	31090511030245.2
69.1830970919	-31406126979012.7	-35393846020728.9	256084824795924	-4181747149754.65	31089506049891
70.7945784384	-31404901010159.4	-35392416641449.9	256103575323437	-4181519410007.44	31088505479202.8
72.4435960075	-31403631280570.3	-35390935922102.2	256123093591687	-4181278928538.03	31087476877548.7
74.1310241301	-31402300044149.6	-35389384317298.1	256143236754196	-4181032171709.21	31086387804297
75.8577575029	-31400889554801.8	-35387742281649.7	256163861964486	-4180785605883.64	31085205818816.1
77.6247116629	-31399382066430.9	-35385990269768.9	256184826376081	-4180545697424.14	31083898480474.1
79.4328234724	-31397759832941.2	-35384108736268.2	256205987142502	-4180318912693.47	31082433348639.4
81.2830516164	-31396005108237.2	-35382078135759.7	256227201417272	-4180111718054.41	31080777982680.3
83.1763771103	-31394100146222.8	-35379878922855.5	256248326353914	-4179930579869.62	31078899941965
85.1138038202	-31392027200802.5	-35377491552167.8	256269219105949	-4179781964501.96	31076766785861.8
87.0963589956	-31389768525880.4	-35374896478308.7	256289736826900	-4179672338314.11	31074346073739
89.1250938134	-31387306375360.8	-35372074155890.4	256309736670290	-4179608167668.92	31071605364964.9
91.2010839356	-31384623003148	-35369005039525.1	256329075789641	-4179595918929.11	31068512218907.7
93.3254300797	-31381700663146.2	-35365669583824.9	256347611338475	-4179642058457.41	31065034194935.6
95.4992586021	-31378521609259.8	-35362048243402	256365200470316	-4179753052616.61	31061138852417.2
97.7237220956	-31375068095393	-35358121472868.6	256381700338684	-4179935367769.46	31056793750720.4
100	-31371322375449.8	-35353869726836.7	256396968097104	-4180195470278.66	31051966449213.7
102.3292992281	-31367266703334.7	-35349273459918.6	256410860899096	-4180539826507.12	31046624507265.4
104.7128548051	-31362883332951.9	-35344313126726.6	256423235898184	-4180974902817.45	31040735484243.7
107.1519305238	-31358154518205.8	-35338969181872.6	256433950247890	-4181507165572.54	31034266939516.8
109.6478196143	-31353062513000.3	-35333222079968.8	256442861101737	-4182143081134.91	31027186432453.2
112.2018454302	-31347589571240.1	-35327052275627.6	256449825613246	-4182889115867.69	31019461522420.9
114.8153621497	-31341717946829.1	-35320440223460.9	256454700935940	-4183751736133.23	31011059768788.4
117.489755494	-31335429893671.7	-35313366378080.9	256457344223342	-4184737408294.67	31001948730923.8
120.2264434617	-31328707665672.1	-35305811194100	256457612628975	-4185852598714.55	30992095968195.6
123.0268770812	-31321533516734.6	-35297755126130.1	256455363306359	-4187103773755.59	30981469039971.9
125.8925411794	-31313889700763.5	-35289178628783.4	256450453409019	-4188497399780.59	30970035505621.1
128.8249551693	-31305758471663	-35280062156672.2	256442740090476	-4190039943152.5	30957762924511.3
131.8256738556	-31297122083337.2	-35270386164408.5	256432080504253	-4191737870233.86	30944618856011
134.8962882592	-31287962789690.6	-35260131106604.5	256418331803872	-4193597647387.55	30930570859488.3
138.0384264603	-31278262844627.4	-35249277437872.5	256401351142856	-4195625740976.12	30915586494311.5
141.2537544623	-31268004502051.8	-35237805612824.6	256380995674727	-4197828617362.62	30899633319849.1
144.5439770746	-31257170015868	-35225696086072.9	256357122553007	-4200212742909.68	30882678895469
147.9108388168	-31245741639980.4	-35212929312229.5	256329588931219	-4202784583979.9	30864690780539.8
151.3561248436	-31233701628293.2	-35199485745906.7	256298251962886	-4205550606936.33	30845636534429.6
154.8816618912	-31221032234710.6	-35185345841716.7	256262968801529	-4208517278141.58	30825483716506.7
158.4893192461	-31207715713136.9	-35170490054271.5	256223596600671	-4211691063958.37	30804199886139.4
162.1810097359	-31193734317476.3	-35154898838183.4	256179992513835	-4215078430749.59	30781752602696.1
165.9586907438	-31179070301633.1	-35138552648064.4	256132013694543	-4218685844877.83	30758109425544.9
169.8243652462	-31163705919511.6	-35121431938526.9	256079517296318	-4222519772706.03	30733237914054.1
173.7800828749	-31147623425016	-35103517164182.9	256022360472681	-4226586680596.74	30707105627592.1
177.8279410039	-31130805072050.6	-35084788779644.6	255960400377155	-4230893034912.91	30679680125527.1
181.970085861	-31113233114519.6	-35065227239524.1	255893494163264	-4235445302017.16	30650928967227.4
186.2087136663	-31094889806327.2	-35044812998433.7	255821498984528	-4240249948272.39	30620819712061.2
190.5460717963	-31075757401377.8	-35023526510985.4	255744271994471	-4245313440041.28	30589319919396.8
194.9844599758	-31055818153575.5	-35001348231791.5	255661670346615	-4250642243686.64	30556397148602.6
199.5262314969	-31035054316824.7	-34978258615464.1	255573551194482	-4256242825571.05	30522018959046.8
204.173794467	-31013448145029.6	-34954238116615.5	255479771691595	-4262121652057.43	30486152910097.6
208.9296130854	-30990981892094.5	-34929267189857.6	255380188991477	-4268285189508.57	30448766561123.5
213.7962089502	-30967637811923.5	-34903326289802.8	255274660247649	-4274739904287.11	30409827471492.4
218.776162395	-30943398158420.9	-34876395871063	255163042613634	-4281492262755.9	30369303200572.9
223.8721138568	-30918245185491.1	-34848456388250.7	255045193242955	-4288548731277.67	30327161307733.2
229.0867652768	-30892161147038.3	-34819488295977.8	254920969289133	-4295915776215.21	30283369352341.5
234.422881532	-30865128296966.7	-34789472048856.6	254790227905692	-4303599863931.14	30237894893766.3
239.8832919019	-30837128889180.5	-34758388101499.3	254652826246154	-4311607460788.41	30190705491375.6
245.4708915685	-30808145177584.1	-34726216908517.8	254508621464040	-4319945033149.65	30141768704537.8
251.188643151	-30778159416081.6	-34692938924524.6	254357470712875	-4328619047377.71	30091052092621.1
257.0395782769	-30747153858577.4	-34658534604131.6	254199231146180	-4337635969835.32	30038523214994
263.0267991895	-30715110758975.7	-34622984401951.1	254033759917476	-4347002266885.15	29984149631024.5
269.1534803927	-30682012371180.7	-34586268772595.2	253860914180288	-4356724404890.01	29927898900081.1
275.4228703338	-30647840949096.8	-34548368170676.2	253680551088138	-4366808850212.76	29869738581531.9
281.8382931264	-30612578746628.1	-34509263050806.1	253492527794546	-4377262069216.03	29809636234745.3
288.4031503127	-30576208017678.9	-34468933867597.2	253296701453038	-4388090528262.67	29747559419089.5
295.1209226666	-30538711016153.4	-34427361075661.5	253092929217133	-4399300693715.32	29683475693933
301.9951720402	-30500069995956	-34384525129611.2	252881068240356	-4410899031936.87	29617352618643.6
309.0295432514	-30460267210990.8	-34340406484058.6	252660975676228	-4422892009290	29549157752590.1
316.2277660168	-30419276619291.4	-34294976450113.6	252432480050007	-4435283203320.43	29478853136743.6
323.5936569296	-30377002936708.7	-34248130021877.5	252195170938735	-4448052079819.45	29406354752312.1
331.1311214826	-30333316444701.8	-34199724240722.4	251948519089625	-4461166113714.07	29331555674814
338.8441561392	-30288087174559.5	-34149615872289.3	251691994386579	-4474592692816.54	29254348813355.1
346.7368504525	-30241185157571.2	-34097661682219.3	251425066713500	-4488299204938.95	29174627077041.1
354.8133892336	-30192480425026	-34043718436153.5	251147205954288	-4502253037893.22	29092283374978
363.0780547701	-30141843008212.8	-33987642899733.1	250857881992846	-4516421579491.68	29007210616271.4
371.5352290972	-30089142938421	-33929291838599.2	250556564713076	-4530772217546.28	28919301710027.3
380.1893963206	-30034250246939.5	-33868522018392.8	250242723998878	-4545272339869.26	28828449565351.3
389.0451449943	-29977034965057.5	-33805190204755	249915829734156	-4559889334272.63	28734547091349.4
398.1071705535	-29917367124064	-33739153163327	249575351802811	-4574590588568.49	28637487197127.3
407.3802778041	-29855116755248.3	-33670267659749.8	249220760088744	-4589343490569.02	28537162791790.8
416.8693834703	-29790153889899.5	-33598390459664.5	248851524475858	-4604115428086.19	28433466784445.8
426.5795188016	-29722348559306.5	-33523378328712.3	248467114848053	-4618873788932.28	28326292084197.9
436.5158322402	-29651570794758.7	-33445088032534.2	248067001089233	-4633585960919.24	28215531600153.2
446.683592151	-29577690627544.9	-33363376336771.3	247650653083299	-4648219331859.28	28101078241417.2
457.0881896149	-29500578088954.5	-33278100007064.9	247217540714151	-4662741289564.52	27982824917095.9
467.7351412872	-29420103210276.4	-33189115809055.8	246767133865694	-4677119221846.9	27860664536295.2
478.6300923226	-29336136022799.9	-33096280508385.2	246298902421827	-4691320516518.72	27734490008120.7
489.7788193684	-29248546557814	-32999450870694.4	245812316266453	-4705312561391.92	27604194241678.3
501.1872336273	-29157204846607.9	-32898483661624.2	245306845283474	-4719062744278.68	27469670146073.8
512.8613839914	-29061980920470.6	-32793235646815.9	244781959356791	-4732538452991.19	27330810630413
524.8074602498	-28962744810691.3	-32683563591910.4	244237128370307	-4745707075341.4	27187508603801.7
537.0317963703	-28859366548559.1	-32569324262549.1	243671822207923	-4758535999141.52	27039656975345.7
549.5408738576	-28751716165363.1	-32450374424372.9	243085510753540	-4770992612203.63	26887148654150.8
562.3413251903	-28639663692392.4	-32326570843023	242477663891061	-4783044302339.79	26729876549322.8
575.4399373372	-28523079160936.1	-32197770284140.3	241847751504387	-4794658457362.11	26567733569967.6
588.8436553556	-28401832602283.4	-32063829513366	241195243477421	-4805802465082.76	26400612625190.9
602.5595860744	-28275794047723.3	-31924605296341.4	240519609694063	-4816443713313.84	26228406624098.5
616.5950018615	-28144833528545	-31779954398707.3	239820320038216	-4826549589867.42	26051008475796.4
630.9573444802	-28008821076037.6	-31629733586105	239096844393782	-4836087482555.54	25868311089390.2
645.6542290347	-27867626721490.2	-31473799624175.5	238348652644661	-4845024779190.43	25680207373985.7
660.6934480076	-27721120496191.9	-31312009278560	237575214674757	-4853328867584.08	25486590238688.9
676.082975392	-27569172431431.8	-31144219314899.4	236776000367971	-4860967135548.71	25287352592605.4
691.8309709189	-27411652558499.1	-30970286498835.1	235950479608205	-4867906970896.29	25082387344841.1
707.9457843841	-27248430908682.9	-30790067596007.9	235098122279359	-4874115761439.04	24871587404501.8
724.435960075	-27079377513272.2	-30603419372059.1	234218398265337	-4879560894989.02	24654845680693.3
741.3102413009	-26904362403556.3	-30410198592629.7	233310777450041	-4884209759358.38	24432055082521.4
